,NO OF ITERATIONS,COST,BIAS HISTORY,WEIGHT_HISTORY
0,0,0.16275173942902318,-0.13736263736263737,"[ 0.34984446  0.19460062  0.35505813  0.3426201   0.1695462   0.28401797
  0.3264156   0.37171371  0.16007713 -0.009208    0.27871314 -0.00658791
  0.26980371  0.27021723 -0.04007548  0.13253095  0.1026431   0.17889696
 -0.0065825   0.0336713   0.37494334  0.21876952  0.37681317  0.35836633
  0.199704    0.28209155  0.30474166  0.3793154   0.20362251  0.15400404]"
1,100,0.05866996868851378,-0.3591912413506058,"[ 0.48877455  0.60558779  0.47784819  0.52533565  0.2949542  -0.0428493
  0.54039469  0.6752282   0.29675463 -0.3092554   0.97283053  0.04092073
  0.76549508  0.75728363 -0.20923334 -0.49925391 -0.12608977  0.10340018
 -0.21607055 -0.60751762  0.80257206  0.89439562  0.73967461  0.78352835
  0.59473558  0.2058517   0.66012279  0.8286873   0.55928284  0.24970751]"
2,200,0.05213486418911642,-0.2830145389201596,"[ 0.43902569  0.61938525  0.42657581  0.4986619   0.2870002  -0.21899708
  0.65291101  0.779963    0.33813576 -0.31174005  1.24915605  0.01058906
  0.91821372  0.92551616 -0.2843744  -0.69929855 -0.06422498  0.17569477
 -0.23955023 -0.79109161  0.89862253  1.03492511  0.79806763  0.88315922
  0.64953209  0.12994238  0.84213419  0.99656714  0.6236377   0.36648023]"
3,300,0.04885043446209372,-0.20316563698706663,"[ 0.39552879  0.61167104  0.38255639  0.47060845  0.26356015 -0.34613465
  0.71436244  0.85059425  0.35188878 -0.28776495  1.43365736 -0.01235285
  1.000118    1.03773941 -0.32576297 -0.80427259 -0.0402799   0.2225907
 -0.23261443 -0.90703417  0.95854811  1.11841251  0.82641745  0.94613176
  0.65665717  0.08159235  0.94503571  1.09265423  0.6423796   0.47811235]"
4,400,0.04673149009750864,-0.12956993538348574,"[ 0.36240102  0.59788049  0.34922393  0.44825063  0.24144598 -0.44352837
  0.75023113  0.90656265  0.35784153 -0.26101224  1.57171031 -0.02791873
  1.04951961  1.12335582 -0.34837051 -0.86085752 -0.04583194  0.25317193
 -0.21392279 -0.99242061  1.00437638  1.1773569   0.8450047   0.99442563
  0.65098745  0.05124966  1.00718591  1.15453433  0.64509927  0.57943552]"
5,500,0.04519477642932172,-0.06474301931538697,"[ 0.33610135  0.58214984  0.32290581  0.43024125  0.22271773 -0.52270559
  0.77349835  0.95298243  0.36102877 -0.23657221  1.6796376  -0.03945581
  1.07946705  1.1920388  -0.35997346 -0.89113261 -0.06326643  0.27542521
 -0.19157824 -1.0613438   1.0411871   1.22193971  0.85799306  1.03391669
  0.64144095  0.03005611  1.04883533  1.19690217  0.64084697  0.66860342]"
6,600,0.04400750074878546,-0.009448960257086239,"[ 0.31430931  0.56648466  0.30124173  0.41544157  0.20725949 -0.5897393
  0.79028495  0.99216259  0.36321369 -0.21529253  1.76595511 -0.04902126
  1.09651346  1.24868282 -0.36524151 -0.90673256 -0.0837295   0.29309415
 -0.16950745 -1.12012925  1.07144932  1.25724573  0.86725912  1.0674449
  0.63097054  0.01333439  1.07953554  1.22687094  0.63374273  0.74627411]"
7,700,0.0430540456859508,0.03682108563442423,"[ 2.95863818e-01  5.51855616e-01  2.83054271e-01  4.03220751e-01
  1.94740926e-01 -6.47722405e-01  8.03481148e-01  1.02566003e+00
  3.65216890e-01 -1.97056970e-01  1.83598939e+00 -5.74365472e-02
  1.10466256e+00  1.29628574e+00 -3.66873079e-01 -9.13713767e-01
 -1.03896117e-01  3.07899848e-01 -1.49351789e-01 -1.17181463e+00
  1.09682518e+00  1.28622426e+00  8.74054534e-01  1.09668946e+00
  6.20691580e-01 -9.61448543e-04  1.10371483e+00  1.24841233e+00
  6.25807645e-01  8.13852318e-01]"
8,800,0.04226852060760593,0.0751906933882831,"[ 0.28008016  0.5386142   0.26764581  0.39312632  0.1848082  -0.69843683
  0.81450769  1.05458046  0.36737791 -0.18152096  1.89339691 -0.06498904
  1.10657757  1.33683797 -0.36642893 -0.91535714 -0.12265168  0.32075667
 -0.13164304 -1.21800408  1.11844299  1.31061439  0.87919197  1.12265981
  0.61100307 -0.01373047  1.12356616  1.26394262  0.61797972  0.87276069]"
9,900,0.04160979031259311,0.10691458490591763,"[ 0.26646864  0.52680348  0.25451313  0.38477711  0.17710178 -0.74307303
  0.82409146  1.0797173   0.36977826 -0.16829901  1.94083163 -0.07178801
  1.10411525  1.37173853 -0.36482835 -0.91355782 -0.13971053  0.33220728
 -0.11640879 -1.25964343  1.137074    1.33147501  0.88318382  1.14598167
  0.60200771 -0.02539257  1.14027542  1.27502736  0.6106612   0.92426458]"
10,1000,0.04105033520077341,0.13315510339451528,"[ 0.2546467   0.51633794  0.2432595   0.37784797  0.17127396 -0.78251726
  0.83262184  1.10165921  0.37238019 -0.1570287   1.98028806 -0.07789608
  1.09860692  1.40201656 -0.36261991 -0.9094842  -0.1550966   0.34259518
 -0.10346418 -1.29735754  1.15326452  1.34949089  0.88635709  1.16706852
  0.59369279 -0.03615957  1.1545481   1.28273913  0.60399983  0.96944771]"
11,1100,0.040570691542666175,0.1549087811520335,"[ 0.24430834  0.50709006  0.2335648   0.37206863  0.16700465 -0.81747369
  0.84032123  1.12086273  0.37510431 -0.14739351  2.01329908 -0.08336901
  1.09102267  1.42845611 -0.36013191 -0.90389974 -0.16894258  0.35214698
 -0.09255056 -1.33160478  1.16741962  1.36513868  0.88892809  1.18621585
  0.58600858 -0.04614934  1.16684641  1.28784956  0.59802546  1.00922465]"
12,1200,0.04015646593215178,0.17299978999941792,"[ 0.23520797  0.49892721  0.22516991  0.36721959  0.16401027 -0.84852276
  0.84732799  1.13769651  0.37786769 -0.1391271   2.04106122 -0.08826365
  1.08207549  1.45167047 -0.35755946 -0.89732748 -0.18140974  0.36101668
 -0.0833995  -1.36275025  1.17985256  1.37877444  0.89104603  1.20365087
  0.57889983 -0.05543629  1.17750073  1.29093604  0.59271499  1.0443626 ]"
13,1300,0.03979663685601882,0.18809840591162952,"[ 0.22714826  0.49172531  0.21786491  0.36312509  0.16204631 -0.87615317
  0.85373701  1.15246741  0.38059962 -0.13200943  2.0645194  -0.09263697
  1.07229126  1.47214908 -0.35501656 -0.89013871 -0.19265628  0.36931131
 -0.07576008 -1.39110139  1.19081368  1.39067964  0.89281784  1.21955831
  0.57231653 -0.06407446  1.18676399  1.29244322  0.58802314  1.0755042 ]"
14,1400,0.03948253634728603,0.20074601026614916,"[ 0.21997019  0.48537273  0.21147934  0.35964522  0.16090585 -0.90078169
  0.85961954  1.16543604  0.38324617 -0.12585998  2.08442699 -0.09654363
  1.06205779  1.49028877 -0.35256775 -0.88260329 -0.20282593  0.37710673
 -0.06940871 -1.41692601  1.20050777  1.40108574  0.89432238  1.23409418
  0.56621598 -0.07210813  1.19483925  1.29272036  0.58389687  1.10318854]"
15,1500,0.039207207781525366,0.2113792279086317,"[ 0.21354486  0.4797704   0.2058741   0.35666872  0.16041611 -0.92276665
  0.86503294  1.17682661  0.38576955 -0.12053072  2.10138952 -0.10003426
  1.05165995  1.50641529 -0.35024743 -0.87492007 -0.21204499  0.38445764
 -0.06415072 -1.44046174  1.20910506  1.41018792  0.89561896  1.24739339
  0.56056194 -0.07957665  1.20189442  1.29204531  0.5802821   1.12786925]"
16,1600,0.038964981018994045,0.2203507174828927,"[ 0.20776712  0.47483079  0.20093497  0.35410686  0.1604342  -0.94241802
  0.87002548  1.18683348  0.3881456  -0.11589981  2.11589711 -0.10315466
  1.04130542  1.52079887 -0.3480718  -0.8672362  -0.22042298  0.39140432
 -0.05981867 -1.46192148  1.21674866  1.41815331  0.89675279  1.25957427
  0.55532308 -0.08651651  1.20807085  1.29064082  0.5771267   1.14992967]"
17,1700,0.0387511788308088,0.22794618759144714,"[ 0.20255046  0.47047652  0.19656756  0.35188861  0.16084285 -0.96000506
  0.87463889  1.19562596  0.39036086 -0.11186638  2.12834907 -0.10594571
  1.03114368  1.53366563 -0.34604614 -0.85966026 -0.22805439  0.39797716
 -0.0562693  -1.48149697  1.22355986  1.4251262   0.89775848  1.27074156
  0.55047161 -0.09296227  1.21348863  1.2886862   0.57438187  1.16969523]"
