,NO OF ITERATIONS,COST,BIAS HISTORY,WEIGHT_HISTORY
14,1400,0.04054463496666211,0.040036584579149,"[ 0.24586319  0.23523747  0.22707253  0.38283749  0.18384296 -0.99296149
  1.10315644  1.29857602 -0.21604221 -0.30417311  1.82535756 -0.42831528
  0.78978756  1.45058435  0.41515672 -0.90248608 -0.21067209  0.46132157
 -0.35189458 -0.96222998  1.35610546  1.81980358  1.01058561  1.3643017
  0.72024299 -0.15315564  1.12967699  1.15826599  1.13278053  0.76582444]"
15,1500,0.04027454309923829,0.051772382054566655,"[ 0.23209442  0.22063313  0.21383368  0.37246408  0.18737044 -1.01570461
  1.11505751  1.31536716 -0.21727265 -0.29798808  1.84264206 -0.43976752
  0.77714585  1.47063088  0.42166388 -0.89091361 -0.22369949  0.46839321
 -0.35136863 -0.97759631  1.37031425  1.84157678  1.01553886  1.38189684
  0.708709   -0.16052504  1.13496868  1.15723105  1.13253999  0.7803215 ]"
16,1600,0.040031921676043934,0.0620865121960073,"[ 0.21938897  0.20780606  0.20167266  0.36295133  0.19091347 -1.03629086
  1.1259742   1.33037689 -0.21793714 -0.29230866  1.85775892 -0.45018633
  0.76475586  1.48890926  0.42749935 -0.87960141 -0.23567975  0.4750692
 -0.35104076 -0.99222914  1.3833722   1.86087417  1.02017861  1.39830187
  0.69809109 -0.16728628  1.13973749  1.15560664  1.13199912  0.79338991]"
17,1700,0.039813235415050136,0.07118637042714049,"[ 0.20765814  0.19653809  0.19049546  0.35422503  0.1944157  -1.05496152
  1.13600637  1.34379766 -0.21818061 -0.28708328  1.87101537 -0.459637
  0.75271496  1.50561217  0.4327439  -0.86864517 -0.24671274  0.48140026
 -0.35088561 -1.00614984  1.39539581  1.87797477  1.0245432   1.41361502
  0.68832816 -0.17350055  1.14405621  1.15352422  1.13126843  0.80523133]"
18,1800,0.03961554676636902,0.0792434756873053,"[ 0.19682012  0.18663899  0.18021594  0.34621648  0.19783666 -1.07192484
  1.14524094  1.355801   -0.21811504 -0.28226816  1.88266695 -0.46818754
  0.74108962  1.52090464  0.43746523 -0.85810734 -0.25688794  0.48742558
 -0.35087773 -1.01937986  1.40648468  1.89312469  1.02866214  1.42792206
  0.67935887 -0.1792213   1.14798303  1.15109172  1.13042709  0.8160108 ]"
19,1900,0.039436385106575586,0.0864004932728929,"[ 0.1867999   0.17794274  0.17075549  0.33886258  0.20114805 -1.08736171
  1.15375417  1.36653978 -0.21782672 -0.27782589  1.89292785 -0.47590644
  0.72992315  1.53492932  0.44172085 -0.84802617 -0.26628522  0.49317561
 -0.35099311 -1.03194111  1.41672502  1.9065417   1.03255866  1.44129898
  0.67112349 -0.18449563  1.15156533  1.14839781  1.12953138  0.82586424]"
20,2000,0.039273651202136585,0.09277680032890541,"[ 0.17752894  0.17030432  0.16204258  0.3321057   0.20433086 -1.10143016
  1.1616134   1.37615019 -0.21738192 -0.27372414  1.90197884 -0.48286101
  0.71924145  1.54781044  0.44556017 -0.83842218 -0.27497572  0.49867409
 -0.3512099  -1.04385612  1.42619232  1.91841896  1.03625144  1.45381378
  0.663565   -0.18936519  1.15484228  1.1455154   1.12862091  0.8349044 ]"
21,2100,0.03912554580687598,0.09847288895724637,"[ 0.16894477  0.16359685  0.15401227  0.32589337  0.20737316 -1.1142689
  1.16887841  1.38475356 -0.21683133 -0.26993466  1.90997353 -0.48911615
  0.70905745  1.55965695  0.44902608 -0.82930302 -0.28302279  0.50393965
 -0.35150866 -1.05514794  1.43495323  1.92892798  1.03975581  1.46552792
  0.65662965 -0.19386702  1.15784671  1.14250432  1.12772309  0.84322546]"
22,2200,0.038990515210270214,0.10357385301201665,"[ 0.16099051  0.15770915  0.14660559  0.32017788  0.21026832 -1.12600017
  1.17560238  1.39245795 -0.21621354 -0.26643245  1.91704314 -0.49473362
  0.69937434  1.5705649   0.45215616 -0.820667   -0.29048294  0.50898701
 -0.35187242 -1.06584006  1.44306705  1.93822122  1.04308461  1.47649729
  0.65026714 -0.19803414  1.1606065   1.13941354  1.12685636  0.85090664]"
23,2300,0.03886720897684037,0.10815215683380247,"[ 0.15361439  0.15254367  0.13976908  0.31491594  0.2130137  -1.1367321
  1.18183287  1.3993596  -0.21555769 -0.26319518  1.92330039 -0.49977149
  0.69018813  1.58061944  0.45498355 -0.81250577 -0.2974066   0.51382799
 -0.35228654 -1.07595624  1.4505869   1.94643426  1.0462488   1.48677297
  0.64443073 -0.20189608  1.16314556  1.13628297  1.12603266  0.85801504]"
